rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
181,0,1,2,1,1,[ 0.55279505 -0.7216625  -0.16765128 -0.7668548   0.2326526   0.37018663]
182,0,1,2,1,2,[-1.7991565  -1.25678     0.54119277 -0.07270686  1.8993851  -0.04985646]
183,0,1,2,1,3,[ 0.00622417  0.30334172  0.43798953  0.04370245 -0.7998018   0.6136946 ]
184,0,1,2,1,4,[-0.67532516  0.08237368  0.5528134  -0.05306545  1.2660357   1.1789544 ]
185,0,1,2,2,0,[-0.24529354  0.01669337  0.19033591 -0.04953053  0.27149186  0.4179745 ]
186,0,1,2,2,1,[ 0.5060268  -0.42891097 -0.5331477  -0.5641466  -0.10547737 -0.40099314]
187,0,1,2,2,2,[-0.88672894 -0.4501848   0.07623419 -0.01576187  1.0936285  -0.12143089]
188,0,1,2,2,3,[ 0.14325728  0.2513992   0.24654922  0.08452529 -0.5233293   0.35649616]
189,0,1,2,2,4,[-0.24672708  0.25565338  0.16818778 -0.00788056  0.7195323   0.642233  ]
190,0,1,2,3,0,[-0.07748204  0.2584253  -0.03641139 -0.16475621  0.19143793  0.2618515 ]
191,0,1,2,3,1,[ 0.6796007  -0.40948868 -1.214233   -0.9922155  -0.4631993  -1.352098  ]
192,0,1,2,3,2,[-0.72767335 -0.06051441 -0.26972827 -0.14381337  1.1035359  -0.29840693]
193,0,1,2,3,3,[ 0.33774304  0.4174344   0.23968796  0.08460826 -0.5698817   0.40734577]
194,0,1,2,3,4,[-0.08071969  0.5696237  -0.05764797 -0.1024454   0.7183812   0.5705079 ]
195,0,1,2,4,0,"[-1.88524604e-01  4.18907464e-01  1.18922995e-04 -4.86371927e-02
  2.84511238e-01  5.53113937e-01]"
196,0,1,2,4,1,[ 0.98823917 -0.5489233  -1.514609   -1.0106226  -0.55663884 -1.472719  ]
197,0,1,2,4,2,[-1.1457196  -0.0045064  -0.2964986   0.03379669  1.6583588  -0.14262006]
198,0,1,2,4,3,[ 0.39132008  0.59906584  0.3001449   0.18523484 -0.9049171   0.543129  ]
199,0,1,2,4,4,[-0.18890104  0.8771646  -0.01726301  0.02574125  1.0679089   1.0220782 ]
200,0,1,3,0,0,[ 0.20110932  0.5005698  -0.08511421 -0.04357699  0.14091116  0.22085525]
201,0,1,3,0,1,[ 0.63525     0.01794318 -0.9569601  -0.63332707 -0.34170258 -1.1262151 ]
202,0,1,3,0,2,[-0.08856563  0.48123124 -0.28765434  0.0037694   0.7041492  -0.06429606]
203,0,1,3,0,3,[ 0.38778996  0.48761305  0.22166608  0.11368408 -0.24104878  0.45050374]
204,0,1,3,0,4,[ 0.2035317   0.7118484  -0.10722499  0.00218354  0.47354507  0.43342635]
205,0,1,3,1,0,[-0.6436185  -0.04415378  0.35366726  0.01021822  0.52459097  0.5874465 ]
206,0,1,3,1,1,[ 0.47495636 -0.5116871  -0.4335376  -0.5269344   0.19046254 -0.08185893]
207,0,1,3,1,2,[-1.6709847  -1.0132273   0.19337635  0.10036081  1.7302618  -0.4941718 ]
208,0,1,3,1,3,"[ 1.78990202e-04  4.47356522e-01  3.98203135e-01  1.00903496e-01
 -7.25084126e-01  6.05776787e-01]"
209,0,1,3,1,4,[-0.62402064  0.24282743  0.31587026  0.07020745  1.1689754   0.84919155]
210,0,1,3,2,0,[-0.21208127  0.14327285  0.11599302  0.04354677  0.25966027  0.31936136]
211,0,1,3,2,1,[ 0.4837648  -0.27352497 -0.56409025 -0.38528746 -0.06964811 -0.49502   ]
212,0,1,3,2,2,[-0.78510004 -0.28386426 -0.03601395  0.11052413  1.0328469  -0.2575618 ]
213,0,1,3,2,3,[ 0.13920671  0.35019493  0.25068614  0.12268062 -0.4645521   0.39239255]
214,0,1,3,2,4,[-0.20114669  0.36751723  0.09372938  0.08156639  0.6906725   0.5362711 ]
215,0,1,3,3,0,[-0.00079024  0.42584613 -0.00847735 -0.00910897  0.23651016  0.3151576 ]
216,0,1,3,3,1,[ 0.72815067 -0.19246031 -1.0485084  -0.6953866  -0.3163779  -1.1614287 ]
217,0,1,3,3,2,[-0.5611938   0.15355644 -0.24773128  0.06231171  1.1106372  -0.2383779 ]
